"time_from","time_to","tile_from","tile_to","eventLoc"
0,10,1048,1048,2.93991804633209e-05
10,20,1048,1048,8.30148032731063e-06
20,30,1048,1048,3.19157769006929e-06
30,40,1048,1048,1.92684837921834e-06
40,50,1048,1048,1.58754931176098e-06
50,60,1048,1048,1.47190246566351e-06
60,70,1048,1048,1.411359549052e-06
70,80,1048,1048,1.365488489724e-06
80,90,1048,1048,1.32459119397444e-06
90,100,1048,1048,1.28631232062765e-06
100,110,1048,1048,1.25003235905175e-06
110,120,1048,1048,1.21553160737461e-06
120,130,1048,1048,1.18267724440932e-06
130,140,1048,1048,1.15135365829499e-06
140,150,1048,1048,1.12144932463218e-06
150,160,1048,1048,1.09285593053507e-06
160,170,1048,1048,1.0654695189553e-06
170,180,1048,1048,1.03919149808449e-06
180,190,1048,1048,1.01392920965349e-06
190,200,1048,1048,9.8959612842352e-07
200,210,1048,1048,9.66111809383121e-07
210,220,1048,1048,9.43401677206655e-07
220,230,1048,1048,9.21396724819779e-07
230,240,1048,1048,9.00033165961044e-07
240,250,1048,1048,8.79252071008374e-07
250,260,1048,1048,8.58999004645367e-07
260,270,1048,1048,8.39223676756468e-07
270,280,1048,1048,8.19879613174773e-07
280,290,1048,1048,8.00923849788344e-07
290,300,1048,1048,7.82316651505335e-07
300,310,1048,1048,7.64021256318899e-07
310,320,1048,1048,7.46003643951128e-07
320,330,1048,1048,7.28232328122701e-07
330,340,1048,1048,7.1067817127803e-07
340,350,1048,1048,6.93314220518283e-07
350,360,1048,1048,6.76115563505625e-07
360,370,1048,1048,6.59059203167384e-07
370,380,1048,1048,6.42123950126114e-07
380,390,1048,1048,6.25290331895751e-07
390,400,1048,1048,6.08540518005533e-07
400,410,1048,1048,5.91858260335535e-07
410,420,1048,1048,5.7522884806631e-07
420,430,1048,1048,5.5863907675719e-07
430,440,1048,1048,5.42077231170921e-07
440,450,1048,1048,5.25533081554674e-07
450,460,1048,1048,5.08997893166939e-07
460,470,1048,1048,4.92464448904312e-07
470,480,1048,1048,4.75927084929074e-07
480,490,1048,1048,4.59381739224385e-07
490,500,1048,1048,4.42826013004971e-07
500,510,1048,1048,4.26259244882075e-07
510,520,1048,1048,4.0968259761605e-07
520,530,1048,1048,3.93099157180234e-07
530,540,1048,1048,3.76514043696216e-07
540,550,1048,1048,3.59934533571317e-07
550,560,1048,1048,3.43370191859734e-07
560,570,1048,1048,3.26833013461886e-07
570,580,1048,1048,3.10337571250764e-07
580,590,1048,1048,2.9390116854416e-07
590,600,1048,1048,2.77543992496612e-07
600,610,1048,1048,2.61289263927919e-07
610,620,1048,1048,2.45163377791881e-07
620,630,1048,1048,2.291960268665e-07
630,640,1048,1048,2.13420299252364e-07
640,650,1048,1048,1.97872737824421e-07
650,660,1048,1048,1.82593346805988e-07
660,670,1048,1048,1.67625527020393e-07
670,680,1048,1048,1.53015917009331e-07
680,690,1048,1048,1.3881411196274e-07
690,700,1048,1048,1.25072226161779e-07
700,710,1048,1048,1.11844257310832e-07
710,720,1048,1048,9.91852027582083e-08
720,730,1048,1048,8.71498685010892e-08
730,740,1048,1048,7.57913030417419e-08
740,750,1048,1048,6.51587821529281e-08
750,760,1048,1048,5.52952733950894e-08
760,770,1048,1048,4.62343343627667e-08
770,780,1048,1048,3.79964763535652e-08
780,790,1048,1048,3.05852220983603e-08
790,800,1048,1048,2.39835473024163e-08
800,810,1048,1048,1.81524278302173e-08
810,820,1048,1048,1.30354270100719e-08
820,830,1048,1048,8.57766846166526e-09
830,840,1048,1048,4.77486958984053e-09
840,850,1048,1048,1.77305712564502e-09
0,10,1049,1048,1.48379645877867e-08
10,20,1049,1048,7.45937140272238e-09
20,30,1049,1048,4.0463667135838e-09
30,40,1049,1048,2.45988185088969e-09
40,50,1049,1048,1.71482888746304e-09
50,60,1049,1048,1.35767471035946e-09
60,70,1049,1048,1.17963242348936e-09
70,80,1049,1048,1.08457550868244e-09
80,90,1049,1048,1.02822857305254e-09
90,100,1049,1048,9.90178788692913e-10
100,110,1049,1048,9.60995822321703e-10
110,120,1049,1048,9.36305224736099e-10
120,130,1049,1048,9.14061507840275e-10
130,140,1049,1048,8.93293386372854e-10
140,150,1049,1048,8.73526293745656e-10
150,160,1049,1048,8.54516468474285e-10
160,170,1049,1048,8.36128382334478e-10
170,180,1049,1048,8.18278128687666e-10
180,190,1049,1048,8.00907177920746e-10
190,200,1049,1048,7.83970127100355e-10
200,210,1049,1048,7.67428910492119e-10
210,220,1049,1048,7.51250003015994e-10
220,230,1049,1048,7.35403018658702e-10
230,240,1049,1048,7.19859966225844e-10
240,250,1049,1048,7.04594820899662e-10
250,260,1049,1048,6.89583252609248e-10
260,270,1049,1048,6.74802436507236e-10
270,280,1049,1048,6.60230909895169e-10
280,290,1049,1048,6.45848458133577e-10
290,300,1049,1048,6.31636020633378e-10
300,310,1049,1048,6.17575612120839e-10
310,320,1049,1048,6.03650256382845e-10
320,330,1049,1048,5.89843930734749e-10
330,340,1049,1048,5.76141520021245e-10
340,350,1049,1048,5.62528779300374e-10
350,360,1049,1048,5.48992304584738e-10
360,370,1049,1048,5.35519511176046e-10
370,380,1049,1048,5.22098619255795e-10
380,390,1049,1048,5.0871864649943e-10
390,400,1049,1048,4.95369407570645e-10
400,410,1049,1048,4.82041520430427e-10
410,420,1049,1048,4.687264194639e-10
420,430,1049,1048,4.5541637548801e-10
430,440,1049,1048,4.42104522754924e-10
440,450,1049,1048,4.2878489310934e-10
450,460,1049,1048,4.15452457491917e-10
460,470,1049,1048,4.02103175004411e-10
470,480,1049,1048,3.88734049762916e-10
480,490,1049,1048,3.75343195761211e-10
490,500,1049,1048,3.61929909943334e-10
500,510,1049,1048,3.4849475363882e-10
510,520,1049,1048,3.35039642440275e-10
520,530,1049,1048,3.21567944494506e-10
530,540,1049,1048,3.08084587027259e-10
540,550,1049,1048,2.94596170717762e-10
550,560,1049,1048,2.81111091270822e-10
560,570,1049,1048,2.67639667186573e-10
570,580,1049,1048,2.54194272283455e-10
580,590,1049,1048,2.40789470967549e-10
590,600,1049,1048,2.27442153535267e-10
600,610,1049,1048,2.14171667916154e-10
610,620,1049,1048,2.00999943171291e-10
620,630,1049,1048,1.87951598716764e-10
630,640,1049,1048,1.7505403158854e-10
640,650,1049,1048,1.62337472042867e-10
650,660,1049,1048,1.49834995322151e-10
660,670,1049,1048,1.3758247442525e-10
670,680,1049,1048,1.25618455107309e-10
680,690,1049,1048,1.13983929993578e-10
690,700,1049,1048,1.02721983523511e-10
700,710,1049,1048,9.18772733755824e-11
710,720,1049,1048,8.14953070843675e-11
720,730,1049,1048,7.16214650130769e-11
730,740,1049,1048,6.22997135110768e-11
740,750,1049,1048,5.35709470590766e-11
750,760,1049,1048,4.54709004028456e-11
760,770,1049,1048,3.80275922646553e-11
770,780,1049,1048,3.12583261072929e-11
780,790,1049,1048,2.51664355352613e-11
790,800,1049,1048,1.97383417272436e-11
800,810,1049,1048,1.49423407794956e-11
810,820,1049,1048,1.0732362802151e-11
820,830,1049,1048,7.06358200206343e-12
830,840,1049,1048,3.9328047189514e-12
840,850,1049,1048,1.46065685634472e-12
0,10,1007,1048,2.51817300537789e-06
10,20,1007,1048,2.44096963588184e-06
20,30,1007,1048,2.35854487073631e-06
30,40,1007,1048,2.27842624528879e-06
40,50,1007,1048,2.20210266758106e-06
50,60,1007,1048,2.12967068124059e-06
60,70,1007,1048,2.06092784866911e-06
70,80,1007,1048,1.99562407987127e-06
80,90,1007,1048,1.93351617996756e-06
90,100,1007,1048,1.87437771704487e-06
100,110,1007,1048,1.81799938166408e-06
110,120,1007,1048,1.76418765687802e-06
120,130,1007,1048,1.71276338910097e-06
130,140,1007,1048,1.66356051028415e-06
140,150,1007,1048,1.61642491062792e-06
150,160,1007,1048,1.57121343233747e-06
160,170,1007,1048,1.52779296207056e-06
170,180,1007,1048,1.48603960765256e-06
180,190,1007,1048,1.44583794931297e-06
190,200,1007,1048,1.40708035812026e-06
200,210,1007,1048,1.36966637555573e-06
210,220,1007,1048,1.33350214890389e-06
220,230,1007,1048,1.29849991765026e-06
230,240,1007,1048,1.26457754649931e-06
240,250,1007,1048,1.23165810100668e-06
250,260,1007,1048,1.19966946217876e-06
260,270,1007,1048,1.16854397673306e-06
270,280,1007,1048,1.13821814003475e-06
280,290,1007,1048,1.10863230902718e-06
290,300,1007,1048,1.07973044275639e-06
300,310,1007,1048,1.05145986835236e-06
310,320,1007,1048,1.02377107057299e-06
320,330,1007,1048,9.96617503241404e-07
330,340,1007,1048,9.69955421115679e-07
340,350,1007,1048,9.43743730922092e-07
350,360,1007,1048,9.17943860460912e-07
360,370,1007,1048,8.92519644858772e-07
370,380,1007,1048,8.67437229194203e-07
380,390,1007,1048,8.42664986864555e-07
390,400,1007,1048,8.18173453193509e-07
400,410,1007,1048,7.93935273899237e-07
410,420,1007,1048,7.69925168154045e-07
420,430,1007,1048,7.46119906066696e-07
430,440,1007,1048,7.22498300507966e-07
440,450,1007,1048,6.9904121327699e-07
450,460,1007,1048,6.75731575669018e-07
460,470,1007,1048,6.52554423551777e-07
470,480,1007,1048,6.29496947084551e-07
480,490,1007,1048,6.06548555217206e-07
490,500,1007,1048,5.8370095508035e-07
500,510,1007,1048,5.60948246316083e-07
510,520,1007,1048,5.38287030293028e-07
520,530,1007,1048,5.15716533989457e-07
530,540,1007,1048,4.93238748101884e-07
540,550,1007,1048,4.70858578628223e-07
550,560,1007,1048,4.48584010766203e-07
560,570,1007,1048,4.26426283436639e-07
570,580,1007,1048,4.04400072060529e-07
580,590,1007,1048,3.82523676356153e-07
590,600,1007,1048,3.60819208838169e-07
600,610,1007,1048,3.39312778348299e-07
610,620,1007,1048,3.18034661270104e-07
620,630,1007,1048,2.97019451011464e-07
630,640,1007,1048,2.76306173797571e-07
640,650,1007,1048,2.55938355709622e-07
650,660,1007,1048,2.35964022118286e-07
660,670,1007,1048,2.16435606066855e-07
670,680,1007,1048,1.97409736609832e-07
680,690,1007,1048,1.78946871450284e-07
690,700,1007,1048,1.61110730290689e-07
700,710,1007,1048,1.43967476012943e-07
710,720,1007,1048,1.27584580177114e-07
720,730,1007,1048,1.12029297791749e-07
730,740,1007,1048,9.73666651478447e-08
740,750,1007,1048,8.36569269801707e-08
750,760,1007,1048,7.09523029626573e-08
760,770,1007,1048,5.92930358817647e-08
770,780,1007,1048,4.87027633735213e-08
780,790,1007,1048,3.91835069436661e-08
790,800,1007,1048,3.07111610779659e-08
800,810,1007,1048,2.32336829641586e-08
810,820,1007,1048,1.66770068843111e-08
820,830,1007,1048,1.09693329563977e-08
830,840,1007,1048,6.10377965252004e-09
840,850,1007,1048,2.2656579125724e-09
0,10,1008,1048,2.96759291755734e-08
10,20,1008,1048,2.8914175828305e-08
20,30,1008,1048,2.80598148993373e-08
30,40,1008,1048,2.72007708201124e-08
40,50,1008,1048,2.63733164725508e-08
50,60,1008,1048,2.5590547400993e-08
60,70,1008,1048,2.48553136889782e-08
70,80,1008,1048,2.41660986166486e-08
80,90,1008,1048,2.35196786975722e-08
90,100,1008,1048,2.29123122485562e-08
100,110,1008,1048,2.2340255999696e-08
110,120,1008,1048,2.17999762573041e-08
120,130,1008,1048,2.12882226425751e-08
130,140,1008,1048,2.08020413055023e-08
140,150,1008,1048,2.03387626662967e-08
150,160,1008,1048,1.98959795299401e-08
160,170,1008,1048,1.94715226191107e-08
170,180,1008,1048,1.9063436552396e-08
180,190,1008,1048,1.86699574722838e-08
190,200,1008,1048,1.82894927118064e-08
200,210,1008,1048,1.79206025333558e-08
210,220,1008,1048,1.75619838270826e-08
220,230,1008,1048,1.72124556043032e-08
230,240,1008,1048,1.68709461108125e-08
240,250,1008,1048,1.65364813919325e-08
250,260,1008,1048,1.62081751547135e-08
260,270,1008,1048,1.58852197881275e-08
270,280,1008,1048,1.5566878417311e-08
280,290,1008,1048,1.52524778821002e-08
290,300,1008,1048,1.49414025430122e-08
300,310,1008,1048,1.4633088829429e-08
310,320,1008,1048,1.43270204551272e-08
320,330,1008,1048,1.4022724235572e-08
330,340,1008,1048,1.37197664496797e-08
340,350,1008,1048,1.34177496961657e-08
350,360,1008,1048,1.31163102012294e-08
360,370,1008,1048,1.28151155402817e-08
370,380,1008,1048,1.25138627417697e-08
380,390,1008,1048,1.22122767459642e-08
390,400,1008,1048,1.19101091959066e-08
400,410,1008,1048,1.16071375416095e-08
410,420,1008,1048,1.13031644421011e-08
420,430,1008,1048,1.09980174530284e-08
430,440,1008,1048,1.06915489902995e-08
440,450,1008,1048,1.03836365626557e-08
450,460,1008,1048,1.00741832681108e-08
460,470,1008,1048,9.76311855085514e-09
470,480,1008,1048,9.45039921646241e-09
480,490,1008,1048,9.13601070399665e-09
490,500,1008,1048,8.81996861382966e-09
500,510,1008,1048,8.50232048953903e-09
510,520,1008,1048,8.18314785104537e-09
520,530,1008,1048,7.86256847400366e-09
530,540,1008,1048,7.54073890719219e-09
540,550,1008,1048,7.21785721500193e-09
550,560,1008,1048,6.8941659258241e-09
560,570,1008,1048,6.56995515880253e-09
570,580,1008,1048,6.24556589062373e-09
580,590,1008,1048,5.9213933102327e-09
590,600,1008,1048,5.59789019194888e-09
600,610,1008,1048,5.27557019564839e-09
610,620,1008,1048,4.95501097555696e-09
620,630,1008,1048,4.63685694566394e-09
